awal,replace
aja,saja
akn,akan
aku,saya
amien,aamiin
amin,aamiin
and,dan
anda,kamu
ane,saya
ap,apa
aps,apa
aq,saya
bag,bagian
banget,sangat
beud,sangat
bgmn,bagaimana
bgt,sangat
bkan,bukan
bl,bila
blg,bilang
blh,boleh
blm,belum
blm,belum
blom,belum
blum,belum
bpk,bapak
bs,bisa
bsa,bisa
bsk,besok
cb,coba
cm,hanya
cma,hanya
cuma,hanya
d,di
dg,dengan
dgn,dengan
dlm,dalam
dn,dan
dng,dengan
dpt,dapat
dr,dari
dr,dari
drpd,daripada
dsar,dasar
dy,dia
dya,dia
en,dan
enggak,tidak
ente,kamu
g,tidak
ga,tidak
gak,tidak
gitu,begitu
gk,tidak
gt,begitu
gtau,tidak tahu
gua,saya
gub,gubernur
gue,saya
gw,saya
hny,hanya
hrs,harus
hrs,harus
hrus,harus
insaallah,insyaa allah
insallah,insyaa allah
insyaallah,insyaa allah
insyallah,insyaa allah
iye,iya
jd,jadi
jdi,jadi
jg,juga
jga,juga
jgn,jangan
jgn,jangan
jlas,jelas
jls,jelas
jng,jangan
kalo,kalau
karna,karena
kau,kamu
kayak,seperti
kl,kalau
klh,kalah
klo,kalau
klu,kalau
klw,kalau
km,kamu
knapa,kenapa
ko,kok
kog,kok
koq,kok
kpada,kepada
kpd,kepada
kpd,kepada
kpn,kapan
kreatip,kreatif
krn,karena
ktm,ketemu
kya,seperti
lbh,lebih
lbih,lebih
lg,lagi
lgsg,langsung
lht,lihat
liat,lihat
liatin,lihat
lngsng,langsung
loe,kamu
loh,lho
lputan,liputan
lu,kamu
lw,kamu
med,selamat
mentri,menteri
met,selamat
mjd,menjadi
mksd,maksud
mngalami,mengalami
mngubah,mengubah
mnjadi,menjadi
mntri,menteri
mo,mau
mw,mau
n,dan
n,dan
napa,kenapa
ndak,tidak
np,kenapa
ntn,nonton
ogut,saya
ok,oke
okay,oke
olh,oleh
org,orang
parpol,partai
pd,pada
pdhl,padahal
plh,pilih
poling,polling
prbndngan,perbandingan
president,presiden
prnh,pernah
rakyt,rakyat
rkyat,rakyat
rkyt,rakyat
rmh,rumah
sbg,sebagai
sdah,sudah
sdara,saudara
sdh,sudah
sdh,sudah
se7,setuju
se7,setuju
sgt,sangat
skp,sikap
skrng,sekarang
slah,salah
slera,selera
slh,salah
sm,sama
sm,sama
sngt,sangat
sodara,saudara
spt,seperti
ssh,susah
support,dukung
sy,saya
t4,tempat
tdk,tidak
th,tahun
trs,terus
ttg,tentang
tuit,tweet
tuwir,tua
udah,sudah
udh,sudah
utk,untuk
utk,untuk
w,saya
wa,saya
y,ya
yg,yang
yng,yang
endonesa,indonesia
ia,dia
aj,saja
stlh,setelah
ampun deh, tidak percaya
batin, perasaan
belagu, sombong
bingungin, membuat bingung
boker, buang air besar
bucin, budak cinta
cebol, cepat bosen
cemungudh, semangat
cengo, kaget
ciut, takut
cupu, kurang menarik
damprat, diberi teguran
dedemit, orang mengerikan
dongkol, marah
dower, bodoh
dugem, nongkrong di tempat hiburan malam
edan, gila
embat, ambil
emesh, imut
endes, enak dilihat
eneng, sayang
epribadeh, pribadi
galak, garang
gaspol, gas poll (semangat)
gebetan, orang yang disukai
gedor, ketuk pintu dengan keras
gemblung, bodoh
genks, teman-teman
geos, gila
gledek, gemetar
gokil, gila
gondok, kesal
gosong, gosong (kondisi)
gubrak, kejutan
gumun, geram
gutlak, ngomong ngalor ngidul
hadeh, sigh
haiyaa, mengeluh
halu, khayalan tinggi
haseek, hebat sekali
hublak, hujan badai
ihir, jijik
ijimek, ajarin
jancok, kampret
jebak, jebakan
jempol, ibu jari
